,Nationality Country,Age_mean,Age_min,Age_max,Height_mean,Height_min,Height_max,Weight_mean,Weight_min,Weight_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Latitude,Longitude
25,Canada,24.25,17,38,71.203125,65.0,77.0,169.984375,146.0,201.0,62.9375,47,75,69.21875,57,87,1.015625,1.0,2.0,3812.5,0.0,44000.0,925937.5,0.0,9500000.0,1857741.3793103448,13000.0,20000000.0,56.13036599999997,-106.34677100000016
26,Cape Verde,27.42105263157895,20,34,71.84210526315789,68.0,76.0,170.94736842105263,146.0,194.0,71.63157894736842,65,79,73.73684210526316,67,87,1.105263157894737,1.0,2.0,11526.315789473685,1000.0,53000.0,4426578.947368421,230000.0,14500000.0,8849263.157894736,483000.0,31500000.0,16.002081999999998,-24.013196999999995
27,Central African Republic,25.666666666666668,25,27,74.0,73.0,75.0,181.33333333333334,176.0,185.0,73.33333333333333,68,82,76.0,71,85,1.3333333333333333,1.0,2.0,19000.0,3000.0,46000.0,10050000.0,950000.0,27500000.0,21700000.0,1700000.0,59800000.0,6.611111,20.939444
28,Chad,22.5,20,25,72.5,72.0,73.0,175.5,172.0,179.0,70.0,67,73,78.0,78,78,1.0,1.0,1.0,12000.0,4000.0,20000.0,3400000.0,1300000.0,5500000.0,7150000.0,2900000.0,11400000.0,15.454166,18.732207
29,Chile,25.074168797953963,17,38,69.4020618556701,63.0,78.0,160.25515463917526,115.0,207.0,64.9923273657289,47,85,70.6854219948849,57,85,1.0824742268041236,1.0,4.0,5176.470588235294,1000.0,215000.0,1343171.3554987211,40000.0,37500000.0,2321176.1363636362,62000.0,69400000.0,-35.67514699999993,-71.54296899999933
30,China,26.084183673469386,17,39,71.58974358974359,65.0,77.0,162.8128205128205,130.0,212.0,59.910714285714285,47,76,63.71938775510204,51,79,1.005128205128205,1.0,2.0,3125.0,1000.0,19000.0,355420.9183673469,10000.0,9000000.0,796470.8994708995,22000.0,20500000.0,35.861660000000086,104.19539700000036
31,Colombia,25.241100323624597,16,40,70.42045454545455,63.0,77.0,162.5957792207792,121.0,207.0,65.57605177993527,48,88,71.042071197411,56,89,1.0535714285714286,1.0,4.0,5415.857605177994,1000.0,315000.0,1785946.6019417476,0.0,69500000.0,2663312.2807017546,54000.0,65500000.0,4.570867999999954,-74.29733300000026
32,Comoros,26.5,24,30,68.16666666666667,66.0,71.0,150.16666666666666,141.0,165.0,67.5,60,73,69.33333333333333,60,74,1.0,1.0,1.0,4500.0,1000.0,8000.0,1391666.6666666667,200000.0,4000000.0,2141666.6666666665,350000.0,5200000.0,-11.875001,43.872219
33,Congo [DRC],25.75,19,32,71.61538461538461,66.0,78.0,168.6346153846154,130.0,212.0,69.21153846153847,56,82,72.38461538461539,61,83,1.0961538461538463,1.0,2.0,13769.23076923077,1000.0,76000.0,3160480.769230769,120000.0,26000000.0,6287833.333333333,219000.0,59200000.0,-4.038332999999996,21.75866399999998
34,Congo [Republic],23.96,18,30,72.52,69.0,77.0,173.92,139.0,196.0,63.92,53,75,69.64,61,77,1.04,1.0,2.0,4440.0,1000.0,21000.0,978400.0,100000.0,8000000.0,1937409.0909090908,183000.0,16600000.000000002,-0.228021,15.827658999999997
35,Costa Rica,26.4,19,33,71.66666666666667,68.0,77.0,167.6,132.0,203.0,68.86666666666666,59,87,71.63333333333334,62,87,1.1666666666666667,1.0,3.0,13566.666666666666,1000.0,195000.0,2910666.6666666665,260000.0,30500000.0,5365966.666666667,390000.0,62500000.0,9.748917000000004,-83.753428
36,Croatia,24.88095238095238,17,38,73.0,67.0,81.0,174.4126984126984,130.0,218.0,69.56349206349206,50,91,74.4920634920635,55,91,1.2777777777777777,1.0,4.0,21682.539682539682,1000.0,420000.0,5223849.206349206,40000.0,67000000.0,9489575.221238937,73000.0,137400000.0,45.10000000000006,15.200000000000031
37,Cuba,23.75,18,32,70.25,65.0,76.0,157.0,126.0,194.0,66.0,60,76,72.75,64,76,1.0,1.0,1.0,3250.0,1000.0,8000.0,1487500.0,350000.0,4400000.0,2328250.0,534000.0,6600000.0,21.521757,-77.78116700000001
38,Curaçao,25.357142857142858,19,29,71.78571428571429,67.0,75.0,167.92857142857142,134.0,198.0,67.57142857142857,59,74,70.28571428571429,65,76,1.0,1.0,1.0,8857.142857142857,1000.0,46000.0,1648571.4285714286,180000.0,6500000.0,2449307.6923076925,351000.0,9900000.0,12.1696,-68.99
39,Cyprus,24.0,18,30,72.125,70.0,74.0,169.75,150.0,209.0,64.125,52,74,70.125,65,78,1.0,1.0,1.0,5250.0,1000.0,13000.0,1238125.0,90000.0,6000000.0,1998125.0,214000.0,9500000.0,35.12641300000001,33.429859
40,Czech Republic,26.76,18,38,72.7,66.0,81.0,174.63,134.0,225.0,69.51,55,82,72.78,59,86,1.14,1.0,4.0,7950.0,0.0,60000.0,2837200.0,0.0,19500000.0,5649419.354838709,88000.0,34600000.0,49.81749200000006,15.472962000000035
41,Côte d'Ivoire,25.18,18,34,71.1,65.0,77.0,167.11,121.0,205.0,69.39,56,82,74.12,59,88,1.19,1.0,3.0,12710.0,0.0,105000.0,3460200.0,0.0,28500000.0,7374469.879518072,218000.0,56300000.0,7.539988999999994,-5.547079999999999
42,Denmark,24.145833333333332,16,36,72.56716417910448,66.0,80.0,170.5910447761194,132.0,216.0,63.717261904761905,48,88,70.05059523809524,55,91,1.0686567164179104,1.0,3.0,6913.690476190476,1000.0,205000.0,1787351.1904761905,40000.0,73500000.0,3140944.099378882,58000.0,141500000.0,56.26391999999997,9.501784999999957
43,Dominican Republic,23.0,22,24,69.0,67.0,71.0,157.0,146.0,168.0,72.0,64,80,80.5,76,85,1.0,1.0,1.0,71000.0,2000.0,140000.0,10400000.0,800000.0,20000000.0,21950000.0,1400000.0,42500000.0,18.735692999999998,-70.162651
44,Ecuador,25.162790697674417,18,33,69.81395348837209,62.0,77.0,160.37209302325581,134.0,198.0,68.79069767441861,58,81,72.93023255813954,64,81,1.0930232558139534,1.0,2.0,11116.279069767443,0.0,120000.0,1987790.6976744186,0.0,10000000.0,5042142.857142857,414000.0,18500000.0,-1.8312389999999978,-78.18340600000008
45,Egypt,26.967741935483872,20,34,71.03225806451613,67.0,76.0,170.2258064516129,139.0,209.0,70.2258064516129,62,88,72.64516129032258,66,89,1.1935483870967742,1.0,3.0,16870.967741935485,0.0,255000.0,4295967.741935484,0.0,69500000.0,13184550.0,525000.0,137300000.0,26.820553000000015,30.802498000000007
46,El Salvador,26.2,21,33,69.2,67.0,70.0,161.2,146.0,181.0,66.0,63,70,69.6,64,75,1.0,1.0,1.0,2600.0,1000.0,5000.0,795000.0,325000.0,1400000.0,1435800.0,488000.0,2800000.0,13.794185000000002,-88.89653
47,Equatorial Guinea,25.4,21,33,71.0,68.0,73.0,167.6,159.0,183.0,70.0,67,77,75.2,68,80,1.2,1.0,2.0,17200.0,1000.0,65000.0,2790000.0,450000.0,9000000.0,5581600.0,608000.0,17800000.0,1.650801,10.267895
48,Eritrea,27.0,21,33,72.0,70.0,74.0,170.5,154.0,187.0,67.5,63,72,68.5,65,72,1.0,1.0,1.0,6000.0,4000.0,8000.0,1237500.0,475000.0,2000000.0,1671500.0,843000.0,2500000.0,15.179383999999999,39.782334000000006
49,Estonia,27.153846153846153,21,33,72.08333333333333,68.0,78.0,171.5,143.0,214.0,64.92307692307692,61,77,67.76923076923077,61,77,1.0833333333333333,1.0,2.0,3846.153846153846,1000.0,30000.0,792307.6923076923,240000.0,5000000.0,1271666.6666666667,325000.0,8500000.0,58.595272000000016,25.013607
50,Ethiopia,32.0,32,32,69.0,69.0,69.0,137.0,137.0,137.0,64.0,64,64,64.0,64,64,1.0,1.0,1.0,1000.0,1000.0,1000.0,250000.0,250000.0,250000.0,313000.0,313000.0,313000.0,9.145,40.489672999999996
51,Faroe Islands,24.166666666666668,20,26,73.33333333333333,70.0,78.0,179.66666666666666,159.0,209.0,62.5,50,67,66.16666666666667,64,68,1.0,1.0,1.0,2666.6666666666665,1000.0,5000.0,526666.6666666666,60000.0,900000.0,788600.0,113000.0,1300000.0,61.89263499999999,-6.9118059999999995
52,Fiji,30.0,30,30,67.0,67.0,67.0,154.0,154.0,154.0,71.0,71,71,71.0,71,71,1.0,1.0,1.0,4000.0,4000.0,4000.0,2300000.0,2300000.0,2300000.0,2900000.0,2900000.0,2900000.0,-16.578193,179.414413
53,Finland,24.761194029850746,17,35,72.26865671641791,66.0,79.0,172.1044776119403,139.0,214.0,64.02985074626865,50,84,69.85074626865672,57,84,1.044776119402985,1.0,2.0,5208.955223880597,0.0,74000.0,1454477.6119402985,0.0,22000000.0,2646375.0,167000.0,37400000.0,61.924109999999956,25.748151000000004
54,France,24.61597374179431,16,41,71.47530186608122,64.0,79.0,166.602634467618,121.0,216.0,67.79868708971554,50,89,73.44748358862144,55,95,1.2063666300768385,1.0,4.0,14053.610503282276,1000.0,240000.0,3679819.474835886,0.0,81000000.0,7394348.182883939,35000.0,166100000.0,46.227637999999445,2.2137490000000066
55,Gabon,26.066666666666666,21,35,70.26666666666667,66.0,74.0,164.93333333333334,141.0,190.0,69.46666666666667,58,88,72.26666666666667,59,88,1.2,1.0,3.0,26933.333333333332,1000.0,265000.0,6628333.333333333,120000.0,59000000.0,13606428.57142857,219000.0,112100000.0,-0.8036890000000002,11.609443999999998
56,Gambia,23.2,19,30,71.93333333333334,65.0,76.0,168.06666666666666,137.0,192.0,67.2,58,76,73.93333333333334,64,85,1.0,1.0,1.0,8133.333333333333,1000.0,28000.0,2031333.3333333333,170000.0,8500000.0,4233846.153846154,281000.0,15100000.0,13.443182000000006,-15.310138999999998
57,Georgia,24.03846153846154,18,31,71.61538461538461,67.0,77.0,166.34615384615384,137.0,194.0,68.34615384615384,58,76,73.8076923076923,65,86,1.0384615384615385,1.0,2.0,4192.307692307692,1000.0,13000.0,2268461.5384615385,180000.0,8500000.0,4404040.0,279000.0,18500000.0,42.31540700000002,43.35689200000001
58,Germany,24.33806343906511,17,39,72.32384937238494,65.0,78.0,172.31715481171548,128.0,236.0,66.08681135225376,47,90,71.69949916527545,57,92,1.1389121338912134,1.0,5.0,9639.398998330551,1000.0,355000.0,2529307.178631052,10000.0,76500000.0,4577843.61424848,15000.0,156800000.0,51.16569100000051,10.451526000000175
59,Ghana,23.657894736842106,17,33,70.05263157894737,64.0,76.0,160.8421052631579,121.0,203.0,67.04385964912281,51,82,73.08771929824562,61,88,1.1140350877192982,1.0,3.0,9614.035087719298,1000.0,65000.0,2551447.3684210526,50000.0,25500000.0,4574421.568627451,98000.0,57400000.0,7.946526999999978,-1.0231940000000028
60,Greece,24.480392156862745,17,39,72.00980392156863,65.0,78.0,171.3921568627451,137.0,203.0,69.06862745098039,53,85,74.42156862745098,63,87,1.1764705882352942,1.0,3.0,7803.921568627451,0.0,140000.0,3034264.705882353,0.0,37500000.0,6394520.408163265,57000.0,66599999.99999999,39.074208,21.824311999999995
61,Grenada,25.0,25,25,73.0,73.0,73.0,194.0,194.0,194.0,63.0,63,63,68.0,68,68,1.0,1.0,1.0,3000.0,3000.0,3000.0,425000.0,425000.0,425000.0,776000.0,776000.0,776000.0,12.262775999999999,-61.604170999999994
62,Guam,30.0,30,30,69.0,69.0,69.0,150.0,150.0,150.0,67.0,67,67,67.0,67,67,1.0,1.0,1.0,3000.0,3000.0,3000.0,550000.0,550000.0,550000.0,825000.0,825000.0,825000.0,13.444304,144.793731
63,Guatemala,26.666666666666668,22,32,74.0,72.0,76.0,171.66666666666666,154.0,187.0,63.666666666666664,58,68,67.66666666666667,67,68,1.0,1.0,1.0,1333.3333333333333,1000.0,2000.0,415000.0,170000.0,550000.0,618666.6666666666,281000.0,866000.0,15.783470999999999,-90.23075899999999
64,Guinea,24.677419354838708,19,33,71.16129032258064,66.0,76.0,166.83870967741936,123.0,205.0,68.12903225806451,59,83,72.87096774193549,65,88,1.1290322580645162,1.0,2.0,12225.806451612903,1000.0,120000.0,3423064.5161290322,210000.0,34000000.0,6729233.333333333,385000.0,67200000.0,9.945586999999994,-9.696644999999995
65,Guinea-Bissau,23.133333333333333,18,29,71.53333333333333,68.0,76.0,165.0,143.0,181.0,67.26666666666667,58,76,73.13333333333334,67,85,1.0,1.0,1.0,6333.333333333333,1000.0,48000.0,2221333.3333333335,220000.0,10500000.0,4556428.571428572,429000.0,23100000.0,11.803749000000002,-15.180412999999994
66,Guyana,27.333333333333332,20,35,72.33333333333333,69.0,76.0,166.0,154.0,172.0,61.666666666666664,57,65,66.33333333333333,63,70,1.0,1.0,1.0,1666.6666666666667,1000.0,2000.0,276666.6666666667,150000.0,500000.0,493000.0,263000.0,788000.0,4.860416000000001,-58.93018000000001
67,Haiti,23.9,20,30,71.5,69.0,76.0,172.7,150.0,205.0,63.4,52,73,69.9,60,78,1.0,1.0,1.0,3900.0,1000.0,17000.0,928500.0,70000.0,3000000.0,1675100.0,137000.0,5900000.0,18.971186999999997,-72.28521500000001
68,Honduras,26.8125,18,35,70.375,65.0,73.0,168.9375,150.0,190.0,69.1875,62,75,72.3125,62,82,1.125,1.0,2.0,7500.0,1000.0,26000.0,2527187.5,160000.0,9500000.0,4632266.666666667,240000.0,16300000.0,15.199998999999993,-86.24190500000002
69,Hong Kong,28.0,18,38,68.5,68.0,69.0,162.0,159.0,165.0,60.5,59,62,66.5,62,71,1.0,1.0,1.0,1500.0,1000.0,2000.0,145000.0,40000.0,250000.0,287000.0,86000.0,488000.0,22.396428,114.10949699999999
70,Hungary,25.526315789473685,17,31,72.21052631578948,68.0,76.0,169.55263157894737,141.0,203.0,69.23684210526316,51,80,73.21052631578948,64,83,1.1842105263157894,1.0,3.0,6631.578947368421,0.0,48000.0,1897500.0,0.0,13000000.0,6028428.571428572,152000.0,23100000.0,47.16249399999998,19.503303999999993
71,Iceland,25.872340425531913,18,35,72.68085106382979,67.0,77.0,173.4468085106383,148.0,194.0,66.8936170212766,54,82,71.38297872340425,64,82,1.127659574468085,1.0,3.0,8148.936170212766,0.0,125000.0,1638723.4042553192,0.0,22500000.0,4054882.3529411764,225000.0,42800000.0,64.96305100000004,-19.02083500000001
72,India,24.933333333333334,19,33,70.9,67.0,76.0,161.7,141.0,198.0,58.666666666666664,53,67,63.6,56,71,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.593684000000007,78.96288000000003
73,Indonesia,17.0,17,17,65.0,65.0,65.0,141.0,141.0,141.0,56.0,56,56,74.0,74,74,1.0,1.0,1.0,1000.0,1000.0,1000.0,180000.0,180000.0,180000.0,356000.0,356000.0,356000.0,-0.789275,113.921327
74,Iran,25.235294117647058,21,31,71.94117647058823,69.0,76.0,169.88235294117646,152.0,198.0,68.82352941176471,61,77,72.76470588235294,64,80,1.0588235294117647,1.0,2.0,11294.117647058823,1000.0,51000.0,2627941.1764705884,270000.0,11500000.0,5011411.764705882,392000.0,22700000.0,32.427908,53.68804599999999
75,Iraq,25.142857142857142,22,29,71.0,69.0,73.0,158.71428571428572,148.0,170.0,67.0,58,72,71.14285714285714,64,75,1.0,1.0,1.0,5857.142857142857,2000.0,16000.0,1732857.142857143,230000.0,3900000.0,2562333.3333333335,380000.0,6300000.0,33.22319099999999,43.67929099999999
76,Ireland,24.668478260869566,16,38,71.29076086956522,65.0,78.0,164.39402173913044,128.0,223.0,60.88586956521739,47,80,66.88858695652173,54,84,1.0353260869565217,1.0,2.0,4986.413043478261,1000.0,97000.0,671657.6086956522,20000.0,11000000.0,1250497.0930232557,31000.0,20900000.0,53.41290999999948,-8.243890000000047
77,Israel,28.214285714285715,24,32,71.21428571428571,67.0,76.0,167.07142857142858,150.0,192.0,72.14285714285714,65,80,73.0,67,80,1.2142857142857142,1.0,2.0,15857.142857142857,1000.0,40000.0,4191071.4285714286,450000.0,14500000.0,8309307.692307692,821000.0,31200000.0,31.046050999999995,34.851611999999996
78,Italy,25.928774928774928,17,40,71.87410586552217,64.0,77.0,167.48068669527896,130.0,212.0,68.15811965811966,47,89,72.69088319088318,53,93,1.2074391988555078,1.0,4.0,13478.632478632479,1000.0,215000.0,3047571.225071225,10000.0,62000000.0,5548557.858376511,15000.0,105900000.0,41.87194000000065,12.567380000000204
79,Jamaica,28.125,19,35,71.28125,66.0,76.0,168.15625,132.0,223.0,66.625,53,81,68.71875,60,89,1.03125,1.0,2.0,8187.5,1000.0,54000.0,1901406.25,100000.0,26500000.0,3402781.25,175000.0,50400000.0,18.109581,-77.29750800000005
80,Japan,26.15899581589958,17,42,69.98117154811716,61.0,78.0,157.9518828451883,110.0,203.0,62.62133891213389,47,81,66.63389121338912,48,85,1.0585774058577406,1.0,3.0,3453.9748953974895,1000.0,65000.0,831422.5941422594,0.0,17500000.0,1253118.6813186812,13000.0,32200000.000000004,36.204824000000265,138.25292400000032
81,Jordan,23.0,23,23,69.0,69.0,69.0,165.0,165.0,165.0,63.0,63,63,70.0,70,70,1.0,1.0,1.0,1000.0,1000.0,1000.0,425000.0,425000.0,425000.0,616000.0,616000.0,616000.0,30.585164000000002,36.238414
82,Kazakhstan,26.25,24,29,69.75,69.0,70.0,159.5,148.0,174.0,64.75,62,68,66.5,65,70,1.0,1.0,1.0,2000.0,1000.0,4000.0,587500.0,325000.0,1100000.0,892750.0,496000.0,1700000.0,48.019573,66.923684
83,Kenya,24.8,19,33,71.7,67.0,76.0,167.5,132.0,196.0,65.4,56,80,70.3,63,82,1.1,1.0,2.0,11200.0,1000.0,86000.0,2261000.0,170000.0,14500000.0,4110500.0,292000.0,27900000.0,-0.023559,37.90619300000001
84,Kosovo,23.454545454545453,19,32,71.48484848484848,67.0,78.0,164.93939393939394,143.0,192.0,66.03030303030303,53,76,72.27272727272727,59,83,1.0303030303030303,1.0,2.0,6727.272727272727,1000.0,40000.0,1842424.2424242424,70000.0,11000000.0,3391875.0,116000.0,20900000.0,42.602636000000004,20.902976999999996
85,Kuwait,31.0,31,31,77.0,77.0,77.0,161.0,161.0,161.0,70.0,70,70,70.0,70,70,1.0,1.0,1.0,13000.0,13000.0,13000.0,1200000.0,1200000.0,1200000.0,2000000.0,2000000.0,2000000.0,29.311659999999996,47.481766
86,Latvia,29.0,20,38,75.0,73.0,78.0,191.83333333333334,179.0,205.0,63.166666666666664,53,70,66.33333333333333,54,78,1.0,1.0,1.0,2666.6666666666665,1000.0,5000.0,445833.3333333333,40000.0,1000000.0,718500.0,58000.0,1700000.0,56.879635,24.603189
87,Lebanon,29.0,29,29,74.0,74.0,74.0,176.0,176.0,176.0,66.0,66,66,66.0,66,66,1.0,1.0,1.0,2000.0,2000.0,2000.0,500000.0,500000.0,500000.0,625000.0,625000.0,625000.0,33.854721000000005,35.862285
88,Liberia,25.0,25,25,70.0,70.0,70.0,163.0,163.0,163.0,68.0,68,68,73.0,73,73,1.0,1.0,1.0,3000.0,3000.0,3000.0,1200000.0,1200000.0,1200000.0,1600000.0,1600000.0,1600000.0,6.4280550000000005,-9.429499
89,Libya,25.0,24,26,68.5,67.0,70.0,155.0,148.0,168.0,70.0,67,72,73.5,72,76,1.0,1.0,1.0,4750.0,4000.0,6000.0,2400000.0,1000000.0,3600000.0,4025000.0,2200000.0,6000000.0,26.3351,17.228331
90,Liechtenstein,25.333333333333332,22,27,69.33333333333333,69.0,70.0,164.0,157.0,172.0,64.66666666666667,57,71,67.66666666666667,66,71,1.0,1.0,1.0,5000.0,2000.0,10000.0,1078333.3333333333,160000.0,2400000.0,1881000.0,264000.0,4400000.0,47.166000000000004,9.555373
91,Lithuania,24.875,19,31,73.25,69.0,76.0,178.0,152.0,203.0,63.5,53,71,68.5,60,77,1.0,1.0,1.0,2875.0,1000.0,7000.0,875625.0,130000.0,2500000.0,1395000.0,244000.0,4200000.0,55.16943800000001,23.881274999999995
92,Luxembourg,23.25,18,28,72.375,69.0,75.0,168.5,143.0,190.0,63.875,57,71,71.375,63,78,1.0,1.0,1.0,4000.0,1000.0,10000.0,853750.0,150000.0,2200000.0,1594833.3333333333,363000.0,3500000.0,49.815273,6.129583
93,Macedonia [FYROM],25.1,18,34,71.8,67.0,77.0,165.65,137.0,198.0,68.0,50,77,72.5,63,83,1.05,1.0,2.0,7900.0,1000.0,30000.0,2778750.0,60000.0,12000000.0,5662684.2105263155,125000.0,27600000.0,41.608635000000014,21.745274999999996
94,Madagascar,27.5,21,34,70.75,66.0,74.0,166.41666666666666,141.0,183.0,66.91666666666667,60,76,68.83333333333333,63,77,1.0833333333333333,1.0,2.0,7750.0,1000.0,48000.0,1014166.6666666666,220000.0,2800000.0,1891166.6666666667,402000.0,4900000.0,-18.766947000000005,46.86910699999999
95,Mali,24.74418604651163,18,34,71.65116279069767,67.0,78.0,164.6046511627907,132.0,198.0,68.97674418604652,56,80,73.69767441860465,63,85,1.0232558139534884,1.0,2.0,10674.418604651162,1000.0,38000.0,2688372.093023256,160000.0,16000000.0,5607184.2105263155,200000.0,32000000.0,17.570692000000005,-3.9961659999999988
96,Malta,25.0,25,25,66.0,66.0,66.0,154.0,154.0,154.0,61.0,61,61,63.0,63,63,1.0,1.0,1.0,2000.0,2000.0,2000.0,300000.0,300000.0,300000.0,,,,35.937496,14.375416
97,Mauritania,23.0,20,26,71.25,67.0,79.0,174.25,159.0,212.0,64.5,62,67,70.0,66,74,1.0,1.0,1.0,2000.0,1000.0,4000.0,600000.0,375000.0,825000.0,971666.6666666666,684000.0,1500000.0,21.00789,-10.940835
98,Mauritius,26.0,26,26,73.0,73.0,73.0,194.0,194.0,194.0,68.0,68,68,69.0,69,69,1.0,1.0,1.0,4000.0,4000.0,4000.0,875000.0,875000.0,875000.0,1600000.0,1600000.0,1600000.0,-20.348404000000002,57.552152
99,Mexico,24.31967213114754,17,45,69.8082191780822,63.0,77.0,159.2219178082192,119.0,205.0,65.41803278688525,50,82,71.50819672131148,57,86,1.095890410958904,1.0,3.0,8825.136612021857,1000.0,90000.0,1684289.6174863388,20000.0,24000000.0,3104918.674698795,34000.0,44600000.0,23.634501000000235,-102.55278399999968
