,Nationality Country,Lat,Lng
74,Germany,50.66060068493148,9.856621855541736
75,Ghana,7.435719999999999,-0.97372
76,Gibraltar,36.1324,-5.3781
77,Greece,38.74072079999999,23.392959200000004
78,Greenland,69.46800454545456,-49.11574545454544
79,Grenada,12.0444,-61.7417
80,Guadeloupe,16.157300000000003,-61.563233333333336
81,Guam,13.47185,144.7418
82,Guatemala,15.057587878787878,-90.51881515151514
83,Guinea,10.25463448275862,-11.558924137931037
84,Guinea-Bissau,11.932109090909092,-15.266636363636364
85,Guyana,6.179791666666667,-58.42143333333333
86,Haiti,18.903540000000003,-72.59085333333334
87,Honduras,14.929874285714284,-87.25819999999999
88,Hong Kong,22.305,114.185
89,Hungary,47.2493908695652,19.581271739130443
90,Iceland,64.63202307692306,-20.44217692307692
91,India,20.824179445727474,79.70409284064662
92,Indonesia,-3.2724916030534357,112.61740076335879
93,Iran,33.906972872340404,51.10352234042554
94,Iraq,33.66783414634147,44.59536341463415
95,Isle Of Man,54.15,-4.4819
96,Israel,32.246569565217385,34.991030434782616
97,Italy,42.681407608695636,12.65144891304348
98,Jamaica,18.134811111111112,-77.1835111111111
99,Japan,36.01329359129383,137.1665448609434
100,Jersey,49.1833,-2.1167
101,Jordan,31.705542857142852,35.79517142857143
102,Kazakhstan,48.15141834862386,68.98813669724771
103,Kenya,-0.5273112903225805,36.880472580645154
104,Kiribati,1.33575,173.0088
105,Korea DPR,39.95721621621622,126.86133243243243
106,Korea Republic,36.47615,127.58529761904768
107,Kosovo,42.51554285714286,20.924385714285716
108,Kuwait,29.263133333333332,47.9073
109,Kyrgyzstan,41.51825714285716,73.43439999999998
110,Laos,18.275890000000004,103.66695499999999
111,Latvia,56.885158771929845,24.75881140350877
112,Lebanon,33.947466666666664,35.75201666666667
113,Lesotho,-29.482990909090912,28.015763636363634
114,Liberia,6.205782352941177,-9.587105882352942
115,Libya,30.013242857142863,16.419364285714284
116,Liechtenstein,47.17375454545454,9.527236363636362
117,Lithuania,55.307187096774186,23.76364838709677
118,Luxembourg,49.71668,6.125673333333333
119,Macau,22.203,113.545
120,Macedonia,41.66269857142857,21.72879428571429
121,Madagascar,-18.546341379310345,47.02525517241381
122,Malawi,-14.10743103448276,34.50517241379311
123,Malaysia,4.022437142857143,105.16265142857144
124,Maldives,3.559100000000001,73.23455714285716
125,Mali,14.962616129032256,-5.471529032258063
126,Malta,35.91974852941177,14.425494117647064
127,Marshall Islands,7.1167,171.3667
128,Martinique,14.6104,-61.08
129,Mauritania,18.78585909090909,-12.86853181818182
130,Mauritius,-20.100416666666664,58.552883333333334
131,Mayotte,-12.7871,45.275
132,Mexico,21.421463515312944,-99.90635139813581
133,"Micronesia, Federated States Of",7.233600000000001,153.87615999999997
134,Moldova,47.21672641509434,28.507718867924524
135,Monaco,43.7396,7.4069
136,Mongolia,47.47486666666667,103.64133703703705
137,Montenegro,42.672162500000006,19.31222083333333
138,Morocco,33.33704615384614,-5.945585897435898
139,Mozambique,-18.906542499999993,35.88385000000001
140,Namibia,-21.40297419354839,16.925925806451616
141,Nepal,27.675711111111113,84.37975277777777
142,Netherlands,46.114355555555555,-6.3656555555555565
143,New Caledonia,-21.40973333333333,166.1925666666667
144,New Zealand,-40.350618055555564,168.99155694444448
145,Nicaragua,12.268990909090906,-85.73145454545455
146,Niger,14.648831578947366,6.2976
147,Nigeria,8.557848648648646,7.39234864864865
148,Northern Mariana Islands,15.2137,145.7546
149,Norway,62.55189607843137,11.446021568627453
150,Oman,22.445349999999994,57.11330625000001
151,Pakistan,31.234924444444434,71.69236666666667
152,Palau,7.443766666666668,134.57703333333333
153,Panama,8.656773684210528,-80.3772842105263
154,Papua New Guinea,-6.0240107142857156,147.69692142857141
155,Paraguay,-24.465067499999993,-57.1982
156,Peru,-9.875477884615385,-75.89382307692308
157,Philippines,12.081252432432438,122.64128864864868
158,Poland,51.77274401913878,19.047121052631578
159,Portugal,39.58517111111107,-9.315866222222223
160,Puerto Rico,18.251508928571425,-66.34362142857142
161,Qatar,25.500387500000002,51.4222
162,Republic of Ireland,53.16073333333333,-7.579625641025643
163,Reunion,-20.956200000000003,55.58045
164,Romania,45.7992298319328,24.808732773109245
165,Russia,55.491906845753746,60.63219081455795
166,Rwanda,-2.02794375,29.823137499999998
167,"Saint Helena, Ascension, And Tristan Da Cunha",-22.498050000000003,-13.3612
168,Saint Kitts & Nevis,17.2983,-62.7342
169,Saint Lucia,14.04885,-60.96815
170,Saint Vincent And The Grenadines,13.1667,-61.2333
171,Samoa,-13.725533333333336,-172.08332499999997
172,San Marino,43.9318,12.45831111111111
173,Saudi Arabia,24.541411627906978,43.80233255813953
174,Senegal,14.458455555555556,-15.358538888888887
175,Serbia,44.29166351351351,20.749120270270268
176,Seychelles,-4.6236,55.4544
