,Nationality Country,Age_mean,Age_min,Age_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Lat,Lng
78,Jamaica,28.125,19,35,66.625,53,81,68.71875,60,89,1.03125,1.0,2.0,8187.5,1000.0,54000.0,1901406.25,100000.0,26500000.0,3402781.25,175000.0,50400000.0,18.134811111111112,-77.18351111111113
79,Japan,26.15899581589958,17,42,62.62133891213389,47,81,66.63389121338912,48,85,1.0585774058577406,1.0,3.0,3453.9748953974895,1000.0,65000.0,831422.5941422594,0.0,17500000.0,1253118.6813186812,13000.0,32200000.000000004,36.0132935912936,137.16654486094237
80,Jordan,23.0,23,23,63.0,63,63,70.0,70,70,1.0,1.0,1.0,1000.0,1000.0,1000.0,425000.0,425000.0,425000.0,616000.0,616000.0,616000.0,31.705542857142852,35.79517142857143
81,Kazakhstan,26.25,24,29,64.75,62,68,66.5,65,70,1.0,1.0,1.0,2000.0,1000.0,4000.0,587500.0,325000.0,1100000.0,892750.0,496000.0,1700000.0,48.15141834862386,68.98813669724771
82,Kenya,24.8,19,33,65.4,56,80,70.3,63,82,1.1,1.0,2.0,11200.0,1000.0,86000.0,2261000.0,170000.0,14500000.0,4110500.0,292000.0,27900000.0,-0.5273112903225804,36.88047258064516
83,Korea DPR,28.5,19,36,65.5,58,71,69.5,58,83,1.25,1.0,2.0,4250.0,1000.0,7000.0,950000.0,50000.0,1900000.0,884666.6666666666,63000.0,1600000.0,39.95721621621622,126.86133243243243
84,Korea Republic,26.35223880597015,17,39,64.1820895522388,50,84,67.51940298507462,57,88,1.0690690690690692,1.0,3.0,3065.6716417910447,1000.0,125000.0,870955.223880597,40000.0,37000000.0,1346139.6825396826,50000.0,71200000.0,36.47615000000027,127.58529761904819
85,Kosovo,23.454545454545453,19,32,66.03030303030303,53,76,72.27272727272727,59,83,1.0303030303030303,1.0,2.0,6727.272727272727,1000.0,40000.0,1842424.2424242424,70000.0,11000000.0,3391875.0,116000.0,20900000.0,42.5155428571429,20.924385714285712
86,Kuwait,31.0,31,31,70.0,70,70,70.0,70,70,1.0,1.0,1.0,13000.0,13000.0,13000.0,1200000.0,1200000.0,1200000.0,2000000.0,2000000.0,2000000.0,29.263133333333332,47.9073
87,Latvia,29.0,20,38,63.166666666666664,53,70,66.33333333333333,54,78,1.0,1.0,1.0,2666.6666666666665,1000.0,5000.0,445833.3333333333,40000.0,1000000.0,718500.0,58000.0,1700000.0,56.885158771929845,24.75881140350877
